Short-tailed Albatross,Phoebastria albatrus,短尾信天翁,仅在当地繁育的 易危
albatross sp.,Diomedeidae sp.,未识别的信天翁,
 ,,,
PROCELLARIIFORMES: Oceanitidae,,,
,,,
Wilson's Storm-Petrel,Oceanites oceanicus,黄蹼洋海燕（烟黑叉尾海燕）,稀见/偶见
Wilson's Storm-Petrel (Wilson's),Oceanites oceanicus oceanicus/exasperatus,黄蹼洋海燕（黑翅）,稀见/偶见
 ,,,
PROCELLARIIFORMES: Hydrobatidae,,,
,,,
Fork-tailed Storm-Petrel,Hydrobates furcatus,灰蓝叉尾海燕,
Leach's Storm-Petrel,Hydrobates leucorhous,白腰叉尾海燕,易危
Leach's Storm-Petrel (Leach's),Hydrobates leucorhous leucorhous,白腰叉尾海燕（北太平洋及大西洋）,
Leach's/Townsend's/Ainley's Storm-Petrel,Hydrobates leucorhous/socorroensis/cheimomnestes,,
Swinhoe's Storm-Petrel,Hydrobates monorhis,黑叉尾海燕,近危
Band-rumped Storm-Petrel,Hydrobates castro,斑腰叉尾海燕,
Hydrobates sp. (Band-rumped complex),Hydrobates sp. (Band-rumped complex),,
Matsudaira's Storm-Petrel,Hydrobates matsudairae,日本叉尾海燕,仅在当地繁育的 易危
Tristram's Storm-Petrel,Hydrobates tristrami,褐翅叉尾海燕,
Hydrobates sp.,Hydrobates sp.,,
 ,,,
PROCELLARIIFORMES: Oceanitidae/Hydrobatidae sp.,,,
,,,
storm-petrel sp. (dark-rumped),Oceanitidae/Hydrobatidae sp. (dark-rumped),未识别的黑腰海燕,
storm-petrel sp. (white-rumped),Oceanitidae/Hydrobatidae sp. (white-rumped),未识别的白腰海燕,
storm-petrel sp.,Oceanitidae/Hydrobatidae sp.,未识别的海燕类,
 ,,,
PROCELLARIIFORMES: Procellariidae,,,
,,,
Northern Fulmar,Fulmarus glacialis,暴雪鹱,
Northern Fulmar (Pacific),Fulmarus glacialis rodgersii,暴雪鹱（太平洋）,
Kermadec Petrel,Pterodroma neglecta,克岛圆尾鹱,稀见/偶见
Providence Petrel,Pterodroma solandri,棕头圆尾鹱,稀见/偶见
White-necked Petrel,Pterodroma cervicalis,白领圆尾鹱,稀见/偶见
Juan Fernandez/White-necked Petrel,Pterodroma externa/cervicalis,,稀见/偶见
Bonin Petrel,Pterodroma hypoleuca,白额圆尾鹱,
Black-winged Petrel,Pterodroma nigripennis,黑翅圆尾鹱,稀见/偶见
Stejneger's Petrel,Pterodroma longirostris,长嘴圆尾鹱,易危
Pterodroma sp.,Pterodroma sp.,,
Bulwer's Petrel,Bulweria bulwerii,褐燕鹱,
Tahiti Petrel,Pseudobulweria rostrata,钩嘴圆尾鹱,稀见/偶见 近危
Streaked Shearwater,Calonectris leucomelas,白额鹱,近危
Flesh-footed Shearwater,Ardenna carneipes,淡足鹱,近危
Wedge-tailed Shearwater,Ardenna pacifica,楔尾鹱,
Buller's Shearwater,Ardenna bulleri,灰背鹱,稀见/偶见 易危
Sooty Shearwater,Ardenna grisea,灰鹱,近危
Short-tailed Shearwater,Ardenna tenuirostris,短尾鹱,
Sooty/Short-tailed Shearwater,Ardenna grisea/tenuirostris,灰鹱/短尾鹱,
Christmas Shearwater,Puffinus nativitatis,黑鹱,稀见/偶见
Bannerman's Shearwater,Puffinus bannermani,班氏鹱,濒危
Newell's Shearwater,Puffinus newelli,夏威夷鹱,稀见/偶见 极危
Townsend's/Newell's Shearwater,Puffinus auricularis/newelli,,稀见/偶见
Newell's/Rapa Shearwater,Puffinus newelli/myrtae,,稀见/偶见
Bryan's Shearwater,Puffinus bryani,布氏鹱,仅在当地繁育的 极危
Tropical Shearwater,Puffinus bailloni,热带鹱,
