Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
47,6609,species,白额燕鸥,Sternula albifrons,2,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,28 Apr 2024,L1484347,S170661664,,1
48,6090,species,青脚鹬,Tringa nebularia,1,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,28 Apr 2024,L1484347,S170661664,,1
49,5973,species,斑尾塍鹬,Limosa lapponica,,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,28 Apr 2024,L1484347,S170661664,,1
50,5847,species,蒙古沙鸻,Anarhynchus mongolus,7,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,28 Apr 2024,L1484347,S170661664,,1
51,5951,species,中杓鹬,Numenius phaeopus,2,大田区--東京港野鳥公園・潮入の池 (Ota Ward--Tokyo Port Wild Bird Park (including Tidal Pond)),JP-13,27 Apr 2024,L927941,S170461984,,1
52,4089,species,小白腰雨燕,Apus nipalensis,8,大田区--東京港野鳥公園・潮入の池 (Ota Ward--Tokyo Port Wild Bird Park (including Tidal Pond)),JP-13,27 Apr 2024,L927941,S170461984,,1
53,5405,species,黑水鸡,Gallinula chloropus,1,府中市--武蔵野の森公園 (Fuchu--Musashino Forest Park),JP-13,20 Apr 2024,L3812816,S169395914,,1
54,8188,species,苍鹰,Astur gentilis,1,府中市--武蔵野の森公園 (Fuchu--Musashino Forest Park),JP-13,14 Apr 2024,L3812816,S168513884,,1
55,5787,species,金眶鸻,Thinornis dubius,2,府中市--武蔵野の森公園 (Fuchu--Musashino Forest Park),JP-13,14 Apr 2024,L3812816,S168513884,,1
56,23957,species,家燕,Hirundo rustica,1,練馬区--石神井公園 (Nerima Ward--Shakujii Park),JP-13,02 Apr 2024,L4949205,S166907829,,1
57,32556,species,日本灰头鹀,Emberiza personata,2,江戸川区--葛西臨海公園・葛西海浜公園 (Edogawa Ward--Kasai Rinkai Park / Kasai Kaihin Park),JP-13,16 Mar 2024,L1896754,S164979190,,1
58,32524,species,芦鹀,Emberiza schoeniclus,4,江戸川区--葛西臨海公園・葛西海浜公園 (Edogawa Ward--Kasai Rinkai Park / Kasai Kaihin Park),JP-13,16 Mar 2024,L1896754,S164979190,,1
59,24920,species,日本树莺,Horornis diphone,1,江戸川区--葛西臨海公園・葛西海浜公園 (Edogawa Ward--Kasai Rinkai Park / Kasai Kaihin Park),JP-13,16 Mar 2024,L1896754,S164979190,,1
60,6797,species,黑颈䴙䴘,Podiceps nigricollis,1,江戸川区--葛西臨海公園・葛西海浜公園 (Edogawa Ward--Kasai Rinkai Park / Kasai Kaihin Park),JP-13,16 Mar 2024,L1896754,S164979190,,1
61,5966,species,白腰杓鹬,Numenius arquata,2,江戸川区--葛西臨海公園・葛西海浜公園 (Edogawa Ward--Kasai Rinkai Park / Kasai Kaihin Park),JP-13,16 Mar 2024,L1896754,S164979190,,1
62,487,species,赤膀鸭,Mareca strepera,2,江戸川区--葛西臨海公園・葛西海浜公園 (Edogawa Ward--Kasai Rinkai Park / Kasai Kaihin Park),JP-13,16 Mar 2024,L1896754,S164979190,,1
63,32067,species,金翅雀,Chloris sinica,4,府中市--多磨霊園 (Fuchu--Tama Cemetery),JP-13,10 Mar 2024,L7024290,S164279051,,1
64,21786,species,杂色山雀,Sittiparus varius,1,新宿区--新宿御苑 (Shinjuku Ward--Shinjuku Gyoen National Garden),JP-13,09 Mar 2024,L1416996,S164166975,,1
65,20811,species,牛头伯劳,Lanius bucephalus,2,新宿区--新宿御苑 (Shinjuku Ward--Shinjuku Gyoen National Garden),JP-13,09 Mar 2024,L1416996,S164166975,,1
66,443,species,鸳鸯,Aix galericulata,13,新宿区--新宿御苑 (Shinjuku Ward--Shinjuku Gyoen National Garden),JP-13,09 Mar 2024,L1416996,S164166975,,1
67,28514,species,斑鸫,Turdus eunomus,1,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,16 Feb 2024,L1484347,S161623266,,1
68,6127,species,三趾滨鹬,Calidris alba,,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,16 Feb 2024,L1484347,S161623266,,1
69,9130,species,长尾林鸮/四川林鸮,Strix uralensis,1,葛飾区--水元公園 (Katsushika Ward--Mizumoto Park),JP-13,26 Dec 2023,L1966910,S157128314,,1
70,7513,species,夜鹭,Nycticorax nycticorax,2,武蔵野区--井の頭公園 (Musashino--Inokashira Park),JP-13,23 Dec 2023,L1525454,S156902913,,1
71,6409,species,红嘴鸥,Chroicocephalus ridibundus,,台東区--上野公園--不忍池 (Taito Ward--Ueno Park--Shinobazu Pond),JP-13,13 Dec 2023,L920941,S156230571,,1
72,645,species,红头潜鸭,Aythya ferina,1,台東区--上野公園--不忍池 (Taito Ward--Ueno Park--Shinobazu Pond),JP-13,13 Dec 2023,L920941,S156230571,,1
74,8064,species,日本松雀鹰,Tachyspiza gularis,1,練馬区--石神井公園 (Nerima Ward--Shakujii Park),JP-13,10 Dec 2023,L4949205,S156058490,,1
76,6787,species,角䴙䴘,Podiceps auritus,2,江戸川区--葛西臨海公園・葛西海浜公園 (Edogawa Ward--Kasai Rinkai Park / Kasai Kaihin Park),JP-13,02 Dec 2023,L1896754,S155595082,,1
77,32442,species,三道眉草鹀,Emberiza cioides,4,立川市--国営昭和記念公園 (Tachikawa--Showa Memorial Park),JP-13,18 Nov 2023,L957598,S154658963,,1
78,8249,species,黑鸢,Milvus migrans,1,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,14 Nov 2023,L1484347,S154888070,,1
79,6793,species,凤头䴙䴘,Podiceps cristatus,1,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,14 Nov 2023,L1484347,S154888070,,1
80,669,species,斑背潜鸭,Aythya marila,,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,14 Nov 2023,L1484347,S154888070,,1
81,5729,species,蛎鹬,Haematopus ostralegus,,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,29 Oct 2023,L1484347,S153391008,,1
82,31441,species,日本鹡鸰,Motacilla grandis,1,川崎市--多摩川と二ヶ領用水の合流--二ヶ領用水の合流--二ヶ領宿河原堰 (Kawasaki--Confluence of Tama River and Nikaryo Aqueduct--Nikaryo Shukugawara Weir),JP-14,17 Oct 2023,L6669771,S152448374,,1
83,31403,species,灰鹡鸰,Motacilla cinerea,1,川崎市--多摩川と二ヶ領用水の合流--二ヶ領用水の合流--二ヶ領宿河原堰 (Kawasaki--Confluence of Tama River and Nikaryo Aqueduct--Nikaryo Shukugawara Weir),JP-14,17 Oct 2023,L6669771,S152448374,,1
84,27616,species,灰椋鸟,Spodiopsar cineraceus,,川崎市--多摩川と二ヶ領用水の合流--二ヶ領用水の合流--二ヶ領宿河原堰 (Kawasaki--Confluence of Tama River and Nikaryo Aqueduct--Nikaryo Shukugawara Weir),JP-14,17 Oct 2023,L6669771,S152448374,,1
85,21351,species,小嘴乌鸦,Corvus corone,,川崎市--多摩川と二ヶ領用水の合流--二ヶ領用水の合流--二ヶ領宿河原堰 (Kawasaki--Confluence of Tama River and Nikaryo Aqueduct--Nikaryo Shukugawara Weir),JP-14,17 Oct 2023,L6669771,S152448374,,1
87,6444,species,黑尾鸥,Larus crassirostris,,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,14 Oct 2023,L1484347,S152135322,,1
88,6130,species,黑腹滨鹬,Calidris alpina,,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,14 Oct 2023,L1484347,S152135322,,1
89,5893,species,环颈鸻,Anarhynchus alexandrinus,,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,14 Oct 2023,L1484347,S152135322,,1
90,5754,species,灰斑鸻,Pluvialis squatarola,,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,14 Oct 2023,L1484347,S152135322,,1
91,28531,species,北灰鹟,Muscicapa dauurica,1,三鷹市--野川公園 (Mitaka--Nogawa Park),JP-13,14 Oct 2023,L7024293,S152125443,,1
92,28522,species,灰纹鹟,Muscicapa griseisticta,1,三鷹市--野川公園 (Mitaka--Nogawa Park),JP-13,14 Oct 2023,L7024293,S152125443,,1
93,25390,species,日本绣眼鸟,Zosterops japonicus,1,習志野市--谷津干潟 (Narashino--Yatsu Tidal Flat (Yatsu-higata)),JP-12,13 Oct 2023,L1743720,S152058561,,1
94,21167,species,灰喜鹊,Cyanopica cyanus,3,習志野市--谷津干潟 (Narashino--Yatsu Tidal Flat (Yatsu-higata)),JP-12,13 Oct 2023,L1743720,S152058421,,1
95,6063,species,矶鹬,Actitis hypoleucos,2,大田区--東京港野鳥公園・潮入の池 (Ota Ward--Tokyo Port Wild Bird Park (including Tidal Pond)),JP-13,06 Oct 2023,L927941,S151521358,,1
96,6037,species,扇尾沙锥,Gallinago gallinago,1,大田区--東京港野鳥公園・潮入の池 (Ota Ward--Tokyo Port Wild Bird Park (including Tidal Pond)),JP-13,06 Oct 2023,L927941,S151521358,,1
97,588,species,绿翅鸭/美洲绿翅鸭,Anas crecca,18,大田区--東京港野鳥公園・潮入の池 (Ota Ward--Tokyo Port Wild Bird Park (including Tidal Pond)),JP-13,06 Oct 2023,L927941,S151521358,,1
98,18440,species,灰山椒鸟,Pericrocotus divaricatus,1,大田区--東京港野鳥公園・潮入の池 (Ota Ward--Tokyo Port Wild Bird Park (including Tidal Pond)),JP-13,06 Oct 2023,L927941,S151540232,,1
99,31329,species,麻雀 (树麻雀),Passer montanus,14,台東区--上野公園--不忍池 (Taito Ward--Ueno Park--Shinobazu Pond),JP-13,03 Oct 2023,L920941,S151315321,,1
100,24975,species,北长尾山雀,Aegithalos caudatus,1,台東区--上野公園--不忍池 (Taito Ward--Ueno Park--Shinobazu Pond),JP-13,03 Oct 2023,L920941,S151315321,,1
101,571,species,针尾鸭,Anas acuta,3,台東区--上野公園--不忍池 (Taito Ward--Ueno Park--Shinobazu Pond),JP-13,03 Oct 2023,L920941,S151315321,,1
102,7651,species,苍鹭,Ardea cinerea,1,武蔵野区--井の頭公園--ひょうたん池 (Musashino--Inokashira Park--Hyoutan Pond),JP-13,01 Oct 2023,L18934173,S151144616,,1
103,24339,species,栗耳短脚鹎,Hypsipetes amaurotis,1,三鷹市--井の頭公園--小鳥の森 (Mitaka--Inokashira Park--Kotori-no-mori Bird Sanctuary),JP-13,01 Oct 2023,L22120018,S151141598,,1
104,12232,species,红领绿鹦鹉,Psittacula krameri,8,武蔵野区--井の頭公園 (Musashino--Inokashira Park),JP-13,01 Oct 2023,L1525454,S151140110,N,1
105,1817,species,原鸽,Columba livia,2,武蔵野区--井の頭公園 (Musashino--Inokashira Park),JP-13,01 Oct 2023,L1525454,S151140110,N,1
106,9809,species,普通翠鸟,Alcedo atthis,2,武蔵野区--井の頭公園 (Musashino--Inokashira Park),JP-13,01 Oct 2023,L1525454,S151138869,,1
107,11138,species,小星头啄木鸟,Yungipicus kizuki,1,三鷹市--野川公園 (Mitaka--Nogawa Park),JP-13,24 Sep 2023,L7024293,S151054557,,1
108,6071,species,灰尾漂鹬,Tringa brevipes,1,江戸川区--葛西臨海公園--西なぎさ (Edogawa Ward--Kasai Rinkai Park--Nishinagisa),JP-13,27 Aug 2023,L23838625,S151710306,,1
109,26461,species,画眉,Garrulax canorus,1,立川市--国営昭和記念公園 (Tachikawa--Showa Memorial Park),JP-13,04 Jun 2023,L957598,S168856674,N,1
110,6749,species,小䴙䴘,Tachybaptus ruficollis,2,立川市--国営昭和記念公園 (Tachikawa--Showa Memorial Park),JP-13,04 Jun 2023,L957598,S168856674,,1
111,29620,species,小太平鸟,Bombycilla japonica,6,Kokumei Elementary School,JP-27,09 Mar 2023,L30679639,S168857443,,1
112,21969,species,大山雀,Parus cinereus,1,豊中市--服部緑地 (Toyonaka--Hattori Greenbelt Park),JP-27,04 Mar 2023,L3109101,S168856811,,1
113,7635,species,大白鹭,Ardea alba,1,豊中市--服部緑地 (Toyonaka--Hattori Greenbelt Park),JP-27,04 Mar 2023,L3109101,S168856811,,1
114,7562,species,白鹭,Egretta garzetta,1,豊中市--服部緑地 (Toyonaka--Hattori Greenbelt Park),JP-27,04 Mar 2023,L3109101,S168856811,,1
115,7313,species,普通鸬鹚,Phalacrocorax carbo,2,豊中市--服部緑地 (Toyonaka--Hattori Greenbelt Park),JP-27,04 Mar 2023,L3109101,S168856811,,1
116,1985,species,山斑鸠,Streptopelia orientalis,2,豊中市--服部緑地 (Toyonaka--Hattori Greenbelt Park),JP-27,04 Mar 2023,L3109101,S168856811,,1
117,31445,species,白鹡鸰,Motacilla alba,1,大阪市--大阪城公園 (Osaka--Osaka Castle Park),JP-27,26 Feb 2023,L1123077,S168857247,,1
118,29382,species,蓝矶鸫,Monticola solitarius,1,大阪市--大阪城公園 (Osaka--Osaka Castle Park),JP-27,26 Feb 2023,L1123077,S168857247,,1
119,29360,species,北红尾鸲,Phoenicurus auroreus,1,大阪市--大阪城公園 (Osaka--Osaka Castle Park),JP-27,26 Feb 2023,L1123077,S168857247,,1
120,28424,species,白腹鸫,Turdus pallidus,1,大阪市--大阪城公園 (Osaka--Osaka Castle Park),JP-27,26 Feb 2023,L1123077,S168857247,,1
121,21362,species,大嘴乌鸦/丛林鸦,Corvus macrorhynchos,,大阪市--大阪城公園 (Osaka--Osaka Castle Park),JP-27,26 Feb 2023,L1123077,S168857247,,1
122,5430,species,白骨顶 (骨顶鸡),Fulica atra,2,大阪市--大阪城公園 (Osaka--Osaka Castle Park),JP-27,26 Feb 2023,L1123077,S168857247,,1
123,662,species,凤头潜鸭,Aythya fuligula,,大阪市--大阪城公園 (Osaka--Osaka Castle Park),JP-27,26 Feb 2023,L1123077,S168857247,,1
124,525,species,绿头鸭,Anas platyrhynchos,2,大阪市--大阪城公園 (Osaka--Osaka Castle Park),JP-27,26 Feb 2023,L1123077,S168857247,,1
125,523,species,斑嘴鸭,Anas zonorhyncha,1,大阪市--大阪城公園 (Osaka--Osaka Castle Park),JP-27,26 Feb 2023,L1123077,S168857247,,1
126,494,species,赤颈鸭,Mareca penelope,1,大阪市--大阪城公園 (Osaka--Osaka Castle Park),JP-27,26 Feb 2023,L1123077,S168857247,,1
127,483,species,琵嘴鸭,Spatula clypeata,20,大阪市--大阪城公園 (Osaka--Osaka Castle Park),JP-27,26 Feb 2023,L1123077,S168857247,,1
75,542,hybrid,绿头鸭x斑嘴鸭 (杂交),Anas platyrhynchos x zonorhyncha,1,練馬区--石神井公園 (Nerima Ward--Shakujii Park),JP-13,10 Dec 2023,L4949205,S156058490,,0
5,6291,spuh,未识别的鸻鹬类,Charadriiformes sp. (shorebird sp.),1,江戸川区--葛西臨海公園・葛西海浜公園 (Edogawa Ward--Kasai Rinkai Park / Kasai Kaihin Park),JP-13,27 Apr 2025,L1896754,S229851953,,0
14,6171,spuh,未识别的小型滨鹬,Calidris sp. (peep sp.),20,江戸川区--葛西臨海公園・葛西海浜公園 (Edogawa Ward--Kasai Rinkai Park / Kasai Kaihin Park),JP-13,04 Jan 2025,L1896754,S207914594,,0
15,5971,slash,大杓鹬/白腰杓鹬,Numenius madagascariensis/arquata,2,江戸川区--葛西臨海公園・葛西海浜公園 (Edogawa Ward--Kasai Rinkai Park / Kasai Kaihin Park),JP-13,04 Jan 2025,L1896754,S207914594,,0
73,28518,slash,斑鸫/红尾斑鸫,Turdus eunomus/naumanni,1,練馬区--石神井公園 (Nerima Ward--Shakujii Park),JP-13,10 Dec 2023,L4949205,S156058490,,0
86,6477,slash,织女银鸥/蒙古银鸥 (西伯利亚银鸥),Larus vegae/mongolicus,,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,14 Oct 2023,L1484347,S152135322,,0
0,,,金眶鸻,Charadrius dubius,,,,,,,,
0,,,红领绿鹦鹉,Psittacula krameri manillensis,,,,,,,,
0,,,绿鹭,Butorides atricapilla,,,,,,,,
